t,lat,lon,z,TOP_az,TOP_dist,TOP_inc,JDNA_az,JDNA_dist,JDNA_inc,JDNB_az,JDNB_dist,JDNB_inc,JDSA_az,JDSA_dist,JDSA_inc,JDSB_az,JDSB_dist,JDSB_inc,QST_az,QST_dist,QST_inc,CHKB_az,CHKB_dist,CHKB_inc,VPT_az,VPT_dist,VPT_inc
2023-10-06T21:23:53.870000Z,43.123386,-116.794281,1860.0,110.53335126469005,739.6443152758161,[87.94370455],250.23063838196148,751.0159570979752,[75.19372287],247.35304296519564,592.1975725634433,[72.79565363],283.60581231246323,727.9581493564813,[74.72777981],291.49547799684836,549.2780361048984,[74.67724149],201.6848671991854,9717.514201177119,[86.13898182],209.6784802721117,22100.49291509649,[87.46598033],273.3219701417595,3848.294336698213,[89.05469832]
2023-10-06T21:24:03.670000Z,43.123215,-116.791822,1830.0,107.31996491684386,935.1665580515685,[90.21096982],241.67950155665451,575.5331506932137,[73.6800707],234.50752945880808,425.4888645667603,[70.17859525],286.69958389053767,529.7665390960543,[72.32970378],300.37505852640305,360.4438579025692,[71.51470097],200.54047892234425,9663.253189199204,[86.2944659],209.20126096444318,22018.973848947466,[87.53452535],273.20447158686596,3647.4336528903846,[89.47382131]
2023-10-06T21:24:15.700000Z,43.122874,-116.788265,1753.0,104.97592875757938,1223.7979067090355,[93.76078985],214.93422209689058,379.27515001880766,[76.43444405],191.3066556946375,290.56850360767135,[75.27495311],297.6789783608053,246.1297003710094,[69.55242999],351.5272255109348,145.96396966051375,[73.40495667],198.8432132850491,9601.512833126168,[86.72847748],208.49180719599443,21912.922385335747,[87.7235937],272.8324529825622,3356.3886772655073,[90.74257778]
2023-10-06T21:24:19.710000Z,43.122688,-116.787022,1731.0,104.70837038779541,1326.8686763212677,[94.41487086],199.2859967060522,351.3149182596855,[78.80741184],171.77284170531374,308.770615561995,[80.01432416],308.72455730542003,149.72622141335515,[65.01602743],32.77481875954275,147.1300871177166,[81.68625757],198.23127330308418,9588.991338971608,[86.85525603],208.23310836938163,21883.203849469162,[87.77801821],272.5562303810914,3254.383173963846,[91.15306633]
2023-10-06T21:24:23.000000Z,43.122688,-116.786172,1723.0,103.98590305400722,1393.8811417314355,[94.53033491],188.04378104256315,334.89543987933945,[79.59169409],159.64818365274962,325.93891166101406,[81.90395882],333.0415017305534,105.08332646587644,[59.5531819],50.26425504605969,193.52250038638823,[86.00954942],197.83777141185723,9567.604946475321,[86.89600627],208.07317767927998,21850.658950487108,[87.79565796],272.61113710105735,3185.2802581679134,[91.32190733]
2023-10-06T21:24:28.310000Z,43.122688,-116.784864,1708.0,103.00068160051784,1497.3848570592957,[94.78877161],169.81389836991946,336.9106553695268,[82.13924954],144.2739140959663,376.4262395184759,[85.23694077],32.12127442821625,110.59373360602105,[67.0776363],64.14300022004552,283.660705687163,[90.3029777],197.2288455696363,9535.580269457514,[86.9754732],207.8261448321803,21800.91069969937,[87.82999728],272.700468564423,3078.949168956046,[91.64648168]
2023-10-06T21:24:30.760000Z,43.122688,-116.784341,1700.0,102.64386095415443,1538.882649429936,[94.95597656],162.87966911964534,346.9748821075468,[83.66596834],139.35250093076073,402.7616965917734,[86.67988004],47.260943919405335,138.01459140600969,[74.31025474],67.44233313271965,322.4960000653361,[91.68731564],196.98423459875303,9523.077683798445,[87.01950969],207.7270549975494,21781.132373959394,[87.84904295],272.7379471699436,3036.435211166412,[91.82033689]
2023-10-06T21:24:35.210000Z,43.122711,-116.783263,1700.0,101.87775274531509,1624.062255247071,[94.69723817],150.01367762720284,379.89364213899665,[84.21092589],130.87891947403335,463.0193449613425,[87.1111762],63.02998845545077,212.1653648911919,[79.64497613],71.86557722303363,405.70060690302176,[91.34140902],196.48240738272065,9495.406016792605,[87.01083962],207.52534955976128,21738.303201560506,[87.84480909],272.8682095942798,2948.9360320324054,[91.87431093]
2023-10-06T21:24:37.020000Z,43.122734,-116.782902,1700.0,101.5811394429017,1652.3050982913726,[94.61729846],146.1174365344337,393.27137596090887,[84.40657964],128.37335860112324,484.0209351069541,[87.23632307],65.6704273399421,239.76173206506587,[80.81523605],72.750997332963,434.4665914839124,[91.25262378],196.31658671308173,9484.671289993146,[87.00746264],207.45968652175065,21722.51155196811,[87.84324381],272.9468900005994,2919.7240826981733,[91.89304991]
2023-10-06T21:24:39.880000Z,43.122711,-116.782241,1647.0,101.30202053496065,1705.5323740667657,[96.23862138],140.3141456900806,427.57061047787647,[91.94029259],124.96942657737823,528.7093883829019,[93.20816237],70.5350487046877,288.76411887091234,[92.82168997],74.92179997302986,485.4304094103044,[97.33656837],195.99994304392945,9472.176130672808,[87.32332538],207.33046208420447,21700.101394459816,[87.9807709],272.95070460208365,2865.8725860495138,[92.98621589]
